VOLTAGE_RECORDED,WIND_SPEED_RECORDED
4.0727,14.5535
4.1076,14.3208
4.7332,10.8665
4.6023,11.2795
4.6958,11.1528
4.0418,14.6416
4.1647,13.9859
4.2541,13.219
4.2332,13.1174
4.703,10.9299
4.9415,9.9257
4.3858,12.5365
4.361,12.6688
4.7277,11.108
4.3452,12.5368
4.7137,10.9243
4.8342,10.3511
4.9203,10.4712
4.8566,10.4551
4.0026,14.8795
4.8897,10.401
4.2063,13.4004
4.7932,10.6463
4.4268,12.467
4.3128,13.0568
4.608,11.4618
4.4522,12.0588
4.2728,13.0075
4.2734,13.0495
4.8938,10.2916
4.3924,12.5894
4.2042,13.312
4.5528,11.8016
4.8551,10.568
4.9412,10.0174
4.0339,14.6368
4.725,10.8506
4.2084,13.3315
4.1802,13.7452
4.6145,11.2627
4.8852,10.401
4.8282,10.6287
4.268,12.9557
4.8066,10.6133
4.9576,9.8933
4.7056,10.9287
4.9461,9.9868
4.1044,14.2126
4.6316,11.5187
4.0427,14.7564
4.1514,13.7758
4.5752,11.6088
4.8974,10.501
4.6578,11.0646
4.1024,14.1654
4.4957,11.8146
4.9541,10.1458
4.7597,10.6776
4.6855,10.9549
4.2722,13.2907
4.7005,11.1565
4.043,14.5522
4.781,10.8569
4.557,11.4984
4.2042,13.7106
4.0474,14.7449
4.2394,13.4439
4.1816,13.7242
4.2463,13.1745
4.2917,12.8012
4.574,11.5168
4.3923,12.3476
4.1221,13.8709
4.7561,10.6213
4.7213,10.8573
4.912,10.0751
4.2771,13.1378
4.943,10.275
4.9697,10.0983
4.5332,11.6917
4.3913,12.3458
4.1505,13.8902
4.7225,11.0515
4.8465,10.4565
4.2694,13.1299
4.9451,10.4024
4.3356,12.8939
4.7508,10.5856
4.3571,12.4358
4.5355,11.542
4.9703,10.1954
4.8364,10.4682
4.6571,11.0802
4.3656,12.6524
4.5692,11.4584
4.9202,10.3945
4.7057,10.8996
4.9997,9.9984
4.7424,11.0639
4.1014,14.0657
4.9771,10.0058
4.1214,13.9462
4.4196,12.1639
4.3384,12.6182
4.8658,10.5338
4.1472,13.6822
4.6377,11.1468
4.7217,10.8818
4.7795,10.5385
4.9679,9.8529
4.1286,13.9269
4.9597,10.2308
4.1906,13.5356
4.0627,14.4984
4.3634,12.6384
4.0593,14.302
4.4354,12.3387
4.7825,10.8698
4.4208,12.1267
4.4074,12.3561
4.306,12.7524
4.1185,14.1678
4.2414,13.061
4.0601,14.6687
4.6573,11.31
4.8902,10.1508
4.1327,13.8101
4.6379,11.2925
4.3088,12.977
4.6993,11.0527
4.484,11.778
4.4897,12.1556
4.9337,9.9861
4.7846,10.8895
4.1657,13.9776
4.0679,14.7114
4.4506,12.2969
4.4323,12.2194
4.1374,14.2043
4.0361,14.9467
4.6543,11.1959
4.9984,10.0851
4.3142,13.0734
4.1963,13.475
4.2526,13.3483
4.3804,12.7379
4.9211,10.3792
4.6908,11.0632
4.5629,11.7566
4.5201,11.6587
4.6971,10.8897
4.6235,11.3567
4.7977,10.7451
4.0431,14.632
4.2319,13.5043
4.2667,12.9836
4.0421,14.4841
4.8494,10.2291
4.1227,14.2718
4.8964,10.2013
4.776,10.9196
4.5479,11.6822
4.0108,14.8263
4.2602,13.2408
4.7992,10.4303
4.7774,10.9472
4.0464,14.7037
4.0939,14.0575
4.9183,10.282
4.4201,12.1572
4.8318,10.4545
4.6344,11.4629
4.6222,11.1583
4.5436,11.9079
4.5808,11.5813
4.202,13.3205
4.4656,11.9908
4.6094,11.6354
4.7792,10.7068
4.2267,13.2748
4.9311,10.1569
4.1273,14.1666
4.9386,10.3799
4.112,14.2517
4.4675,11.8139
4.4646,12.2201
4.9383,10.23
4.5765,11.4023
4.2182,13.3351
4.6651,11.0114
4.0135,14.884
4.2467,13.2176
4.4263,12.2108
4.7132,10.9997
4.13,14.1139
4.1442,14.0136
4.4549,11.9826
4.0294,14.6051
4.6717,11.361
4.6022,11.1999
4.3152,13.0912
4.7711,10.8665
4.6372,11.0533
4.783,10.8584
4.3195,12.8978
4.0166,15.0483
4.8506,10.6827
4.509,11.8187
4.261,13.433
4.7543,10.8083
4.2002,13.3336
4.366,12.5609
4.5172,11.6763
4.9982,10.018
4.0176,14.6139
4.2454,13.5218
4.6584,10.9611
4.5104,12.0511
4.8531,10.6364
4.5637,11.477
4.1396,13.9232
4.1253,14.1585
4.3642,12.8299
4.6618,11.3841
4.0421,14.8017
4.8008,10.4161
4.8448,10.5428
4.5871,11.2713
4.5258,11.732
4.1758,13.6292
4.7865,10.8584
4.0976,14.2822
4.3487,12.5563
4.1534,13.7058
4.7596,10.569
4.9616,9.9112
4.0175,14.6386
4.1905,13.4602
4.2369,13.2213
4.9461,10.0964
4.8021,10.4811
4.1731,13.5057
4.0419,14.7938
4.84,10.7527
4.4679,11.8056
4.9197,10.255
4.0182,15.0387
4.1883,13.4645
4.904,10.1863
4.9585,10.2452
4.0673,14.5326
4.7969,10.4242
4.1851,13.8519
4.5714,11.6812
4.5214,11.9704
4.6237,11.1147
4.1354,13.813
4.6222,11.3702
4.1442,14.167
4.999,10.0774
4.185,13.4981
4.4336,12.2922
4.8339,10.3398
4.8857,10.2622
4.6844,11.0137
4.7777,10.7528
4.7001,11.0089
4.3175,12.9119
4.4061,12.1841
4.6723,11.2539
4.0823,14.5079
4.0651,14.4828
4.7915,10.8045
4.0104,15.0655
4.8436,10.6859
4.0919,14.1205
4.1969,13.7619
4.562,11.6431
4.8274,10.3533
4.1989,13.4079
4.1323,13.8363
4.1913,13.4789
4.3501,12.8137
4.1969,13.7369
4.3625,12.4199
4.4874,12.1313
4.6256,11.2178
4.9176,10.3463
4.1117,14.0042
4.4339,12.4572
4.6041,11.3686
4.1053,14.0664
4.8779,10.581
4.1284,14.0682
4.984,9.9302
4.0265,14.55
4.1353,13.8078
4.6364,11.1389
4.1718,13.7356
4.3584,12.6413
4.8486,10.4471
4.3763,12.512
4.0539,14.7665
4.9305,10.0341
4.5243,11.7447
4.8853,10.5748
4.4928,11.8123
4.1296,14.1095
4.5277,11.9825
4.917,10.2054
4.3352,12.6439
4.6837,11.2336
4.3669,12.3364
4.2541,13.0196
4.8808,10.5867
4.8652,10.4144
4.1283,14.0392
4.0904,14.0837
4.1844,13.4896
4.849,10.2885
4.7394,10.8965
4.1867,13.7948
4.4774,11.9024
4.7308,10.8312
4.7202,10.7274
4.8449,10.7101
4.6885,11.2427
4.4739,12.1565
4.9301,10.435
4.9429,10.3969
4.4404,12.051
4.6078,11.6158
4.0507,14.5125
4.4652,12.0101
4.2573,13.0268
4.396,12.6306
4.0722,14.5278
4.2111,13.6416
4.9743,9.8717
4.2611,13.2004
4.0948,14.2989
4.4951,11.8639
4.2174,13.416
4.7858,10.684
4.4593,12.3143
4.0534,14.7193
4.7705,10.691
4.7011,11.2077
4.9062,10.4555
4.1098,14.2649
4.5409,11.7642
4.938,9.9644
4.2068,13.4195
4.6358,11.0531
4.5177,11.9535
4.4808,12.0863
4.0611,14.7357
4.4609,12.2942
4.2683,13.3877
4.9991,9.936
4.0026,15.1966
4.4323,12.1297
4.2202,13.2368
4.6044,11.5921
4.6511,11.2158
4.07,14.6233
4.8668,10.5742
4.8966,10.1139
4.1694,13.5711
4.6153,11.3758
4.0982,14.4953
4.2848,13.082
4.2366,13.5686
4.0095,15.0859
4.6073,11.3249
4.9551,9.9793
4.6677,11.2189
4.6795,11.2337
4.2728,12.9342
4.6009,11.59
4.736,10.9921
4.3126,13.0452
4.8327,10.4214
4.614,11.3184
4.9923,10.0132
4.1656,13.738
4.0734,14.5809
4.4946,11.9063
4.1451,14.1365
4.5201,11.7751
4.7528,11.0421
4.5335,11.8673
4.1989,13.415
4.4618,12.2139
4.0636,14.7604
4.3724,12.7021
4.9703,10.3021
4.2469,13.4659
4.8925,10.374
4.1991,13.7168
4.8252,10.6104
4.8699,10.2316
4.3736,12.5239
4.3222,12.9772
4.902,10.1608
4.3389,12.574
4.3759,12.3084
4.5937,11.2215
4.0807,14.2978
4.0207,14.6834
4.3921,12.5335
4.4384,12.3157
4.1543,13.6335
4.5376,11.9341
4.6623,11.272
4.761,10.6313
4.4912,12.06
4.9756,10.2166
4.9701,10.2519
4.5359,11.8349
4.5196,11.8728
4.5672,11.4141
4.5801,11.5974
4.4431,12.2666
4.7006,11.1493
4.7965,10.6214
4.5533,11.4871
4.7656,10.9705
4.1083,14.1804
4.6202,11.276
4.8793,10.3416
4.9346,10.0091
4.4833,12.0942
4.4823,11.9537
4.1303,14.0743
4.2748,13.0332
4.5243,11.8718
4.3579,12.5527
4.3658,12.5414
4.5777,11.4539
4.4595,12.3306
4.4256,12.1588
4.0103,14.9204
4.1195,13.8966
4.939,10.2666
4.8172,10.817
4.6598,11.2539
4.158,13.8005
4.1402,14.1779
4.4757,12.1135
4.9355,10.064
4.3211,13.0763
4.6268,11.3442
4.3278,12.5781
4.431,12.4379
4.3481,12.4402
4.9271,9.9924
4.8158,10.4356
4.5619,11.6206
4.6432,11.1328
4.7392,10.6252
4.4337,12.1455
4.6252,11.5555
4.2634,13.2157
4.6899,11.1166
4.2615,13.2723
4.1877,13.6983
4.9042,10.2356
4.6917,11.0258
4.4647,12.1666
4.2143,13.5419
4.9171,10.229
4.9313,9.9684
4.1055,14.1363
4.5301,11.6518
4.4529,12.1651
4.4414,11.9924
4.7209,11.0809
4.9695,10.3003
4.9718,9.847
4.9239,10.2636
4.8555,10.3816
4.9357,10.2295
4.9839,10.1205
4.0976,14.1864
4.1401,14.1273
4.4219,12.1572
4.6156,11.3229
4.4457,12.0243
4.2172,13.2063
4.5473,11.4441
4.7621,10.9601
4.1426,13.9707
4.5775,11.4626
4.7661,10.7447
4.8263,10.7293
4.5769,11.6742
4.9253,10.1103
4.6309,11.3088
4.2935,13.1485
4.2339,13.1717
4.945,10.165
4.7565,10.8473
4.0791,14.546
4.8542,10.44
4.7456,11.0592
4.9502,10.0571
4.0242,14.9704
4.4763,11.7651
4.9919,10.0162
4.3626,12.6693
4.5948,11.5901
4.3676,12.6583
4.3508,12.6879
4.1902,13.468
4.3043,12.7853
4.3641,12.611
4.3652,12.3383
4.1463,14.0047
4.5336,11.7102
4.0283,14.7509
4.8313,10.7833
4.0393,14.6946
4.0827,14.2818
4.7365,10.9796
4.8398,10.6368
4.9241,10.2033
4.3908,12.6873
4.4097,12.4419
4.8462,10.4483
4.2762,13.1425
4.0166,14.7039
4.7637,10.8878
4.1589,13.6723
4.6278,11.4701
4.2261,13.2779
4.1784,13.7343
4.3042,12.6897
4.6672,11.3881
4.5784,11.6987
4.4619,11.8537
4.2938,12.7376
4.5309,11.8338
4.3108,13.0927
4.9476,10.1672
4.5175,11.7358
4.4373,12.0526
4.3686,12.7636
4.5415,11.8981
4.972,9.893
4.0693,14.5187
4.6649,11.2002
4.2946,12.9732
4.2373,13.4178
4.1732,13.6978
4.8937,10.2683
4.2877,13.0431
4.0157,14.7098
4.6929,11.0627
4.9871,9.8297
4.4927,11.8756
4.2409,13.1755
4.5082,11.7136
4.5002,11.7332
4.0249,14.7476
4.8683,10.4171
4.436,12.2212
4.2688,12.9189
4.9683,10.2265
4.6624,11.2722
4.3693,12.4618
4.0839,14.374
4.1975,13.3648
4.2302,13.3224
4.5571,11.504
4.663,11.1062
4.5869,11.6157
4.0812,14.6151
4.3678,12.6121
4.6417,11.2466
4.6336,11.3351
4.5308,11.5692
4.6544,11.3007
4.4208,12.2286
4.8179,10.7356
4.5547,11.6796
4.744,11.0729
4.86,10.4572
4.0984,14.1075
4.8608,10.4087
4.3686,12.557
4.7061,11.0325
4.6328,11.2495
4.3306,12.8748
4.8625,10.3662
4.6816,11.0138
4.269,13.3585
4.5795,11.753
4.7743,10.5409
4.7172,10.9915
4.0961,14.1098
4.5769,11.6293
4.2481,13.4236
4.8375,10.4414
4.214,13.4855
4.219,13.4677
4.3718,12.7182
4.974,10.2774
4.939,10.1113
4.9493,10.2458
4.1232,14.2637
4.6301,11.3556
4.9533,10.032
4.2,13.5273
4.1759,13.9657
4.5673,11.5585
4.9129,10.4393
4.333,12.8557
4.6454,11.4196
4.6524,11.2976
4.982,10.1118
4.3592,12.6947
4.5225,11.5415
4.0496,14.4208
4.4473,12.3547
4.2659,13.2619
4.4848,11.8828
4.5475,11.663
4.4166,12.2595
4.3758,12.7386
4.7456,10.6208
4.5383,11.7057
4.4823,11.9215
4.1003,14.4122
4.9642,10.1838
4.0169,14.9555
4.2544,13.2613
4.0428,14.5318
4.9915,10.2478
4.0856,14.348
4.5193,11.6866
4.6574,11.2357
4.5363,11.8606
4.7411,11.1011
4.5219,11.5909
4.1397,14.0302
4.6899,10.9888
4.7689,10.7811
4.1749,13.6028
4.4938,11.7895
4.8027,10.877
4.0169,15.1147
4.0369,14.5816
4.3489,12.6556
4.3437,12.5272
4.3552,12.5005
4.168,13.6715
4.3386,12.9404
4.4924,11.7073
4.8289,10.3786
4.3013,12.9737
4.7135,10.8371
4.9519,10.2174
4.3795,12.4264
4.9509,10.2195
4.0567,14.4584
4.4264,12.1635
4.5971,11.5406
4.7921,10.5453
4.781,10.679
4.0778,14.6516
4.3204,13.0246
4.0514,14.569
4.4964,11.8951
4.2468,13.0861
4.0134,14.8049
4.5086,11.9444
4.8674,10.357
4.5567,11.4092
4.6273,11.1475
4.1291,14.2584
4.2368,13.4808
4.2064,13.2789
4.0872,14.195
4.0367,14.6197
4.3192,12.5922
4.2419,13.1573
4.7143,11.1598
4.4303,12.1128
4.9884,10.2462
4.9298,10.1157
4.1091,14.011
4.3735,12.6775
4.3484,12.7667
4.4716,11.8509
4.9419,10.3779
4.7991,10.4488
4.9071,10.2706
4.4942,12.082
4.3608,12.767
4.7126,11.0947
4.4976,12.0484
4.7254,10.7046
4.6432,11.0666
4.8255,10.4336
4.7217,11.1566
4.9929,10.244
4.0382,14.5953
4.8392,10.4111
4.0123,14.8055
4.4339,12.415
4.0223,14.7846
4.4598,12.0119
4.7556,10.724
4.654,11.3963
4.8271,10.3772
4.6339,11.2752
4.788,10.827
4.5094,11.7241
4.8205,10.5111
4.1104,13.9701
4.2907,13.0197
4.8535,10.2813
4.0954,14.3472
4.4145,12.5293
4.8157,10.5107
4.7806,10.6099
4.4691,11.9381
4.0403,14.6704
4.7779,10.8303
4.953,9.895
4.1924,13.6755
4.335,12.5326
4.3329,12.5232
4.7625,10.7161
4.8536,10.6891
4.3986,12.4303
4.8068,10.3863
4.5279,11.9557
4.0344,14.5606
4.5618,11.498
4.678,11.2585
4.7866,10.7674
4.5653,11.5551
4.4174,12.5002
4.7547,10.9396
4.2243,13.4493
4.2672,13.2693
4.7689,10.9219
4.0891,14.2742
4.8318,10.6833
4.193,13.6255
4.0204,14.8723
4.2731,13.2318
4.7597,10.6866
4.4335,12.0691
4.5833,11.2811
4.1658,13.7769
4.4261,12.039
4.6357,11.5141
4.1571,13.7408
4.3572,12.64
4.8223,10.426
4.4451,12.2503
4.3636,12.4738
4.8182,10.6988
4.7141,10.8124
4.2764,13.0706
4.0182,14.8735
4.7479,10.9707
4.655,11.1526
4.4553,12.2729
4.2052,13.2904
4.5092,11.7792
4.1259,14.1655
4.0257,14.7182
4.4781,11.8718
4.0867,14.3464
4.3609,12.3904
4.0977,14.194
4.7744,10.7649
4.6404,11.3277
4.4223,12.3882
4.3825,12.5467
4.5938,11.6847
4.3185,12.6661
4.3697,12.616
4.4932,11.7105
4.2032,13.6672
4.6147,11.6037
4.3478,12.5121
4.8221,10.4712
4.4871,12.021
4.7936,10.5265
4.3211,12.9924
4.3241,12.9722
4.02,14.6739
4.6249,11.5538
4.2497,13.0829
4.1515,14.0718
4.5786,11.7074
4.4495,12.0756
4.5348,11.7949
4.034,14.632
4.7594,10.9533
4.188,13.4192
4.8388,10.5649
4.2147,13.2492
4.1707,13.9542
4.9367,9.9627
4.8644,10.5355
4.5881,11.3816
4.016,14.7516
4.3949,12.4339
4.4197,12.5187
4.8121,10.81
4.2748,13.2914
4.4387,12.2713
4.9278,10.0406
4.1681,13.8754
4.5271,11.6005
4.2571,13.1995
4.3332,12.5381
4.8269,10.3879
4.2744,12.9327
4.6661,11.3973
4.8724,10.3951
4.0243,14.8875
4.651,11.3404
4.3931,12.5788
4.0785,14.369
4.8632,10.1864
4.4293,12.0688
4.3126,12.7939
4.4422,12.2038
4.9211,10.3427
4.4373,12.3863
4.0492,14.523
4.2412,13.5508
4.8411,10.6209
4.3958,12.6554
4.4258,12.42
4.5619,11.5149
4.1811,13.5659
4.0041,15.1788
4.4945,11.7393
4.8325,10.4776
4.0455,14.7958
4.1099,14.4046
4.7031,11.0877
4.2917,12.9897
4.8509,10.4386
4.6922,10.8619
4.9739,9.8507
4.3441,12.8344
4.1362,13.7444
4.3109,13.0078
4.4545,12.3271
4.958,10.1678
4.3401,12.8609
4.498,11.6619
4.7172,10.742
4.4461,12.2912
4.1596,13.7444
4.2814,12.9398
4.2619,12.9438
4.7225,11.0769
4.0365,14.6247
4.0677,14.7149
4.9497,10.2097
4.966,10.2251
4.322,13.0607
4.9561,10.2895
4.6889,10.918
4.2518,13.0363
4.5054,11.904
4.3582,12.4442
4.7712,10.9978
4.7045,10.965
4.5482,11.9025
4.2052,13.6804
4.5319,11.8662
4.6182,11.4175
4.6751,11.0473
4.9434,10.3268
4.9287,10.2245
4.7007,11.1908
4.0892,14.2925
4.1249,14.2048
4.7492,11.018
4.0585,14.7392
4.0982,14.2085
4.5274,11.9696
4.9027,10.2958
4.5748,11.5809
4.5266,11.9406
4.0307,14.716
4.4026,12.4178
4.517,11.6694
4.7591,10.7633
4.1257,13.8163
4.7932,10.4758
4.7696,10.9829
4.8156,10.3748
4.3702,12.5979
4.2188,13.6468
4.7403,10.9312
4.2637,13.1096
4.9206,10.4902
4.3908,12.4221
4.8095,10.3774
4.872,10.5038
4.3203,12.7913
4.7577,10.5914
4.5119,11.9356
4.5273,11.6477
4.406,12.2682
4.7521,10.7958
4.6504,11.4652
4.1084,14.1955
4.2722,12.8895
4.8281,10.4165
4.3421,12.8662
4.1232,13.9568
4.3641,12.4432
4.3187,12.9999
4.7307,11.1239
4.3784,12.677
4.8313,10.3505
4.1303,13.9139
4.4446,12.1801
4.8304,10.7252
4.3673,12.7675
4.3879,12.6981
4.3626,12.8409
4.2113,13.5843
4.5644,11.7365
4.9631,9.9715
4.5514,11.8586
4.6768,11.1302
4.4298,12.0241
4.5878,11.6925
4.3137,12.819
4.0076,14.8324
4.9912,10.1664
4.0575,14.5507
4.3427,12.6503
4.0521,14.5311
4.9137,10.5005
4.0157,14.8637
4.136,14.2255
4.7564,10.9429
4.6344,11.5161
4.4507,12.178
4.8976,10.1653
4.3633,12.6051
4.3326,12.9676
4.2233,13.6434
4.7698,10.9751
4.8216,10.6226
4.9122,10.3491
4.0916,14.3635
4.364,12.809
4.4386,12.389
4.0991,14.4704
4.6127,11.5658
4.6971,11.0116
4.8842,10.5023
4.8525,10.3786
4.626,11.2106
4.7059,10.9855
4.3125,12.9794
4.0932,14.3072
4.2226,13.3188
4.5925,11.6402
4.8093,10.6543
4.091,14.1677
4.5663,11.3481
4.9796,9.8962
4.0906,14.2247
4.8554,10.2134
4.5394,11.9423
4.0838,14.1535
4.3364,12.7254
4.3554,12.6815
4.9794,9.8744
4.9879,10.1608
4.4706,12.1502
4.126,14.2383
4.5127,12.026
4.8618,10.4671
4.5609,11.6158
4.4209,12.3835
4.3912,12.4222
4.1865,13.6889
4.2167,13.2883
4.4257,12.1521
4.1715,13.8643
4.8745,10.3223
4.0495,14.8329
4.9405,10.4253
4.559,11.7392
4.3837,12.6945
4.1936,13.5911
4.9335,10.2955
4.4516,12.0055
4.3918,12.2494
4.875,10.4609
4.4406,12.1168
4.2247,13.512
4.9401,10.265
4.9441,10.0842
4.5965,11.5485
4.3076,13.0722
4.1062,14.1648
4.8571,10.3548
4.1071,14.4464
4.5427,11.5199
4.2846,12.8251
4.3946,12.2546
4.6437,11.087
4.5106,11.9162
4.2289,13.6292
4.2857,12.9163
4.4235,12.186
4.9388,10.0026
4.6783,11.2106
4.9471,10.0831
4.2534,13.206
4.9119,10.1253
4.4402,12.0019
4.6018,11.1816
4.33,12.9751
4.503,11.7638
4.968,9.9778
4.7478,10.6873
4.4002,12.3662
4.7402,10.9795
4.4699,12.0817
4.534,11.5672
4.775,10.5597
4.4768,12.1594
4.3004,13.0326
4.7937,10.4555
4.8643,10.6127
4.2512,13.2252
4.5771,11.5214
4.742,10.7982
4.5883,11.5243
4.1987,13.594
4.3203,12.9728
4.8436,10.3929
4.5799,11.3799
4.4176,12.4925
4.5888,11.2396
4.7107,10.8687
4.7882,10.5978
4.6868,10.9053
4.1663,13.6271
4.1023,14.3322
4.0913,14.3971
4.5342,11.8893
4.3286,12.5816
4.6783,10.9068
4.2464,13.0772
4.1702,13.6642
4.3416,12.6033
4.3757,12.4111
4.5074,11.9575
4.1568,13.8185
4.4456,12.4013
4.9843,10.0737
4.1886,13.7652
4.5297,11.7171
4.7932,10.5179
4.9542,10.273
4.3988,12.2822
4.154,13.7167
4.8949,10.2193
4.7131,11.1127
4.2604,13.2882
4.6838,10.923
